Area,Bedrooms,Bathrooms,Parking,Age,Location,Price
1160,1,2,0,22,Green Valley,14110000
1380,1,1,0,22,Riverside,18930000
630,2,2,0,37,Outskirts,4530000
1430,2,2,0,43,Suburb,11630000
1210,3,3,0,14,City Center,36100000
1640,1,1,1,20,Outskirts,12400000
870,1,2,1,27,City Center,16410000
870,1,1,0,12,Green Valley,13030000
690,1,2,0,36,Outskirts,4960000
1350,3,3,0,10,City Center,32410000
1450,3,2,0,9,Uptown,27360000
1610,4,3,1,18,Green Valley,24700000
1710,3,2,1,33,Green Valley,23560000
1080,2,2,0,6,City Center,30220000
1300,2,2,0,32,Riverside,14540000
950,1,1,0,0,Suburb,10470000
940,1,1,0,15,Riverside,15490000
1260,2,3,0,20,Uptown,19960000
700,1,2,0,29,Riverside,9640000
1460,2,2,1,20,Tech Park,19090000
1680,2,2,1,10,Suburb,18660000
1180,1,1,0,10,Green Valley,14450000
1210,3,3,1,0,Uptown,23380000
1940,3,3,1,33,Tech Park,28460000
870,1,2,1,21,Riverside,14880000
1940,4,3,1,0,Suburb,23220000
550,2,1,0,21,Outskirts,4260000
640,1,1,0,13,Tech Park,10250000
1220,3,3,0,15,Outskirts,10940000
1850,3,3,1,3,City Center,44530000
1690,2,2,1,12,Uptown,30910000
550,1,1,0,8,Green Valley,8460000
570,1,1,1,7,Riverside,10340000
1130,1,2,0,17,Green Valley,15250000
820,2,3,0,16,Suburb,10310000
1580,3,4,1,12,Green Valley,24270000
1730,3,3,1,31,Uptown,27630000
1270,3,3,0,26,Tech Park,20450000
1140,3,3,0,39,Outskirts,9270000
1050,1,1,0,6,Suburb,12300000
920,1,2,0,24,Uptown,14870000
1220,4,4,0,22,Suburb,14070000
1050,2,2,0,15,Outskirts,9120000
1820,3,3,0,33,Riverside,23920000
1720,3,3,1,31,Green Valley,22280000
1600,3,3,1,21,Green Valley,23490000
760,2,2,0,9,Green Valley,11120000
1850,4,4,1,0,Suburb,24970000
750,2,1,0,23,Riverside,12440000
950,1,1,0,16,Suburb,9360000
1770,2,2,1,19,Uptown,30130000
1240,3,2,0,17,Tech Park,19500000
850,2,3,0,15,Riverside,14400000
1120,2,2,0,35,Riverside,17590000
1050,2,2,0,15,Suburb,10890000
1350,2,2,0,32,Outskirts,8710000
1590,4,3,1,27,Uptown,25590000
1690,4,3,1,19,Green Valley,28560000
1280,2,1,0,0,Green Valley,19890000
860,2,2,0,0,Tech Park,14110000
1250,4,3,0,0,City Center,32990000
1160,2,2,0,10,Uptown,19240000
910,1,1,0,45,Outskirts,5540000
730,2,2,0,24,Riverside,10360000
1110,3,3,0,0,Riverside,21380000
1340,3,3,0,20,Uptown,19760000
890,1,1,1,9,Green Valley,13770000
1280,1,2,0,9,Green Valley,15860000
610,1,1,0,30,Green Valley,7890000
920,2,2,1,0,City Center,26030000
1060,2,2,0,17,Tech Park,18160000
2300,5,4,1,13,Green Valley,31160000
850,1,2,0,11,Riverside,13760000
1890,4,4,0,23,Tech Park,23670000
1890,3,2,0,10,Uptown,33420000
1500,3,3,1,13,Uptown,24270000
1810,2,3,1,20,Suburb,16350000
1500,2,2,2,21,Outskirts,11080000
1330,3,3,0,20,City Center,23630000
1240,2,2,0,10,Riverside,18410000
1320,2,2,0,14,Green Valley,19430000
890,3,2,0,0,Outskirts,8510000
1590,4,3,2,30,Riverside,27580000
1030,3,2,0,22,Riverside,14520000
990,1,1,0,12,Outskirts,8500000
760,1,1,0,14,Uptown,13590000
1390,2,2,1,11,Outskirts,12910000
1010,1,1,0,38,Outskirts,7100000
1160,4,4,0,12,Outskirts,11310000
1280,2,3,0,18,Riverside,17080000
550,1,1,0,26,City Center,10770000
1670,3,3,1,20,Outskirts,13550000
1100,3,3,0,37,Tech Park,14960000
1110,2,2,0,22,Riverside,16450000
640,1,1,1,23,Green Valley,9240000
770,2,2,0,29,Uptown,10300000
1370,1,2,0,13,Outskirts,10230000
760,1,1,0,0,City Center,19520000
1150,3,3,1,8,Uptown,22420000
1840,4,3,1,17,Uptown,31900000
850,2,3,0,39,Suburb,8670000
1120,2,2,0,8,City Center,27700000
1340,2,2,0,31,City Center,27890000
940,2,2,0,18,Tech Park,13660000
1680,4,3,1,10,Uptown,34390000
1610,3,2,1,37,Outskirts,11260000
1020,1,1,0,15,Green Valley,11660000
990,2,2,0,7,Suburb,12610000
1650,4,2,2,9,Tech Park,26090000
1470,2,2,1,7,Outskirts,13120000
1210,1,2,0,39,Green Valley,11940000
1380,2,2,0,22,Uptown,24650000
690,1,2,0,26,Green Valley,8170000
830,2,2,0,35,Riverside,12880000
1920,4,3,1,11,Tech Park,31520000
1810,4,2,1,35,Suburb,17160000
980,3,3,0,1,Riverside,17740000
1190,3,3,0,23,Outskirts,10150000
1300,3,3,1,14,Outskirts,11890000
640,1,1,0,12,Outskirts,4500000
1430,2,2,0,6,Uptown,24000000
1670,3,3,1,6,Outskirts,15500000
570,2,1,0,24,Outskirts,3780000
1060,2,2,0,13,Uptown,19500000
750,1,1,0,17,Suburb,9110000
1200,2,2,0,14,City Center,31320000
1780,4,4,1,0,Suburb,24050000
1940,4,4,1,22,Tech Park,30270000
1330,2,2,0,39,Riverside,15920000
820,1,2,0,28,Outskirts,5850000
1390,3,2,1,19,Green Valley,17300000
900,2,3,0,32,Uptown,15710000
960,1,2,1,6,Suburb,11220000
740,1,1,0,29,City Center,14260000
1840,4,4,1,21,Tech Park,26630000
2060,3,2,2,0,Suburb,25090000
700,1,2,0,16,Riverside,10020000
1420,1,1,0,23,Green Valley,17030000
1220,2,2,0,24,Outskirts,8670000
900,2,2,0,15,Suburb,9310000
950,2,3,0,10,Green Valley,15370000
1230,2,2,0,11,Green Valley,16860000
1510,2,2,1,23,Outskirts,10790000
1070,2,2,0,20,Outskirts,9060000
1050,1,2,0,19,Outskirts,8220000
1080,2,2,0,17,City Center,21860000
1170,3,1,0,2,Green Valley,18280000
650,1,1,0,2,Tech Park,10810000
1280,2,1,0,24,Suburb,13410000
780,1,1,0,22,Suburb,7680000
1020,3,2,0,0,Tech Park,18370000
1010,3,3,0,0,City Center,21110000
550,1,2,0,12,Green Valley,7540000
1150,1,1,0,12,Tech Park,17200000
1180,1,1,0,5,Tech Park,18990000
550,2,1,0,31,Suburb,5370000
910,1,1,0,27,Green Valley,11920000
1840,4,3,1,11,Riverside,34070000
1000,2,2,0,28,Suburb,9500000
550,1,1,0,21,Suburb,4350000
1530,3,3,1,16,Suburb,16260000
1350,3,3,0,29,Outskirts,9600000
1000,2,2,0,24,Green Valley,11450000
1630,3,3,1,21,City Center,34250000
870,2,2,0,10,City Center,23000000
1240,3,2,0,12,Riverside,21520000
1560,1,2,1,21,Suburb,15060000
1130,2,2,0,24,Suburb,10560000
1780,3,4,1,29,Suburb,16340000
990,2,2,0,17,Suburb,11260000
1210,2,2,0,23,Outskirts,9050000
1230,2,2,0,15,City Center,24550000
1450,4,4,0,8,Green Valley,22810000
2110,4,3,1,26,Outskirts,14310000
1010,2,2,0,25,Green Valley,13000000
900,2,2,0,21,City Center,18290000
910,1,1,0,7,Uptown,15430000
810,2,1,0,4,Uptown,16060000
1710,2,2,1,23,Green Valley,23180000
2320,4,3,1,39,Outskirts,15630000
1040,2,1,0,8,Outskirts,10030000
1240,1,1,0,5,Riverside,20250000
940,1,1,0,25,Tech Park,11980000
1020,1,1,0,27,Suburb,10090000
1050,1,2,0,14,Tech Park,15520000
1340,2,2,0,34,Riverside,17130000
860,2,2,1,18,Tech Park,13460000
1230,2,2,0,35,Riverside,15490000
1860,3,2,1,45,Uptown,21570000
1180,1,1,0,16,Green Valley,15550000
630,2,1,1,18,Green Valley,8990000
550,1,1,0,27,Suburb,4970000
1050,2,2,0,30,Outskirts,6880000
1140,2,2,0,27,Tech Park,17450000
550,1,2,0,45,Uptown,6930000
780,1,2,0,9,Outskirts,7030000
1610,2,3,2,23,Uptown,26050000
1920,3,2,1,5,Uptown,33380000
1120,1,1,0,22,Outskirts,7940000
590,1,1,0,26,Tech Park,9230000
990,2,3,0,12,Uptown,18760000
1020,1,2,0,19,Tech Park,14160000
1390,2,2,0,25,Tech Park,18290000
1230,2,3,0,15,Riverside,21530000
1580,3,2,1,27,City Center,30550000
1700,2,2,1,14,Suburb,18970000
1740,4,3,1,22,Suburb,17030000
1380,3,2,0,17,City Center,31820000
1410,3,3,0,27,Riverside,22610000
1360,4,3,0,19,Riverside,22760000
800,2,2,0,19,Tech Park,11990000
1500,2,2,1,6,Riverside,26190000
550,1,1,0,16,Riverside,9150000
1150,1,1,0,23,Tech Park,14370000
1540,2,2,1,16,Outskirts,13180000
1320,3,3,0,19,Green Valley,19100000
1630,3,3,0,34,Tech Park,22140000
1680,4,4,1,13,Uptown,25130000
1070,1,1,0,8,Uptown,20920000
1130,3,2,0,11,Tech Park,17490000
1230,3,3,0,24,Uptown,22630000
1230,1,1,0,22,Green Valley,14070000
720,2,2,0,10,Tech Park,10990000
1560,3,3,1,4,City Center,38890000
850,1,2,0,8,Uptown,17310000
710,1,1,0,17,City Center,12970000
1180,2,2,0,10,Uptown,23920000
1330,2,2,0,11,Uptown,24860000
1080,2,3,0,23,Tech Park,14130000
1440,3,3,0,17,City Center,32110000
1030,1,1,0,4,Green Valley,14060000
1080,1,1,0,11,Suburb,11220000
590,2,1,1,3,City Center,15540000
1610,2,2,1,34,Uptown,25050000
690,2,2,0,34,Uptown,10570000
790,2,2,1,38,Suburb,8530000
550,1,1,0,0,City Center,13240000
550,1,1,1,13,City Center,15400000
860,2,3,0,19,Green Valley,11560000
1080,2,2,0,8,Suburb,11360000
720,1,2,0,1,City Center,18540000
1450,1,2,0,31,Outskirts,9660000
970,2,2,1,1,Uptown,20780000
1110,2,2,0,30,Uptown,17860000
1650,3,2,1,45,Suburb,11950000
1560,2,1,1,17,Outskirts,13140000
700,1,1,1,15,Uptown,14780000
2330,4,4,2,14,Suburb,26240000
770,2,1,0,20,Outskirts,5790000
970,1,2,0,9,Green Valley,14650000
880,2,2,0,38,Riverside,11860000
1540,3,3,1,23,Outskirts,12370000
2080,2,2,1,18,Suburb,22350000
1700,4,3,1,20,Outskirts,13440000
710,1,1,0,16,Suburb,7870000
550,1,2,0,23,Suburb,6310000
790,2,3,1,45,Green Valley,8870000
1130,2,2,0,12,Uptown,19180000
940,1,2,0,23,Outskirts,7250000
1250,3,3,0,0,Uptown,27320000
830,2,2,0,11,Uptown,16400000
1060,2,2,0,4,Outskirts,8810000
640,2,3,0,2,Suburb,8570000
1300,2,1,0,36,Riverside,18390000
1060,2,2,0,0,Riverside,17600000
800,2,1,0,9,Tech Park,12020000
790,1,1,0,4,Outskirts,7470000
1250,3,2,0,22,Riverside,18550000
1430,2,2,0,31,Outskirts,9560000
1560,2,2,1,17,Riverside,27580000
900,1,1,1,14,Suburb,10070000
880,1,1,0,27,Riverside,11830000
1340,2,2,0,16,Suburb,10800000
1740,3,2,1,7,Outskirts,12820000
1080,2,3,0,21,Outskirts,9020000
1050,2,2,0,4,City Center,28860000
1670,3,3,1,8,Suburb,20420000
1190,3,3,0,22,Green Valley,17210000
1100,2,2,0,11,City Center,27580000
610,1,1,0,15,Green Valley,7890000
1330,3,3,1,7,City Center,37810000
1030,1,2,0,28,Tech Park,15900000
1480,2,2,1,18,Riverside,26040000
740,1,2,0,21,Tech Park,10330000
860,3,3,0,29,Outskirts,6550000
1720,2,2,1,18,Outskirts,13880000
730,1,3,0,19,Outskirts,6710000
1070,1,2,0,13,City Center,23140000
1040,3,3,0,24,Outskirts,7860000
1240,2,2,0,0,Riverside,22100000
1550,1,1,1,22,Outskirts,10350000
1210,2,2,0,20,Suburb,13270000
1220,1,1,0,19,Green Valley,17150000
1530,3,3,1,29,Riverside,23290000
690,2,2,0,29,Uptown,11030000
1210,3,3,0,13,Green Valley,17940000
1320,2,2,0,5,Green Valley,18790000
720,1,2,0,9,City Center,18090000
1330,1,1,0,21,Riverside,18940000
1010,3,3,0,19,Uptown,17970000
920,2,2,0,16,Tech Park,13600000
1070,3,2,0,6,Green Valley,15770000
1210,1,1,0,9,Suburb,13350000
1430,3,2,0,0,Tech Park,25050000
1890,4,3,2,24,Green Valley,21750000
1790,4,3,0,34,Riverside,25340000
1290,3,3,0,9,Uptown,27620000
